ACCOUNT_NO,BALANCE,ACCOUNT_TYPE,MOBILE,BRANCH_ID,ADMINISTRATOR,PERSON_ID
1,73950,CURRENT,6082252077,Bao,F,35
2,26757,SAVINGS,3248510544,BqY,F,1
3,27536,CURRENT,9829521458,BGD,F,1
4,41605,SAVINGS,5491526207,BeG,F,50
5,34479,SAVINGS,1178941398,BFx,F,64
6,83020,SAVINGS,4385869700,B3M,F,54
7,4990,SAVINGS,9051383530,BZX,F,50
8,62503,SAVINGS,4862790218,BGD,F,99
9,58045,SAVINGS,9297831458,BYY,T,82
10,95917,SAVINGS,3117134680,BTV,F,73
11,79282,CURRENT,3993509509,BW8,T,30
12,78876,SAVINGS,8266873429,B7q,F,81
13,55659,SAVINGS,2774985556,BxE,T,83
14,71205,CURRENT,4697437576,B2Q,F,70
15,87187,CURRENT,7002834969,BN4,F,36
16,68899,CURRENT,1529231606,BzG,T,67
17,91267,CURRENT,9314791367,BYi,T,74
18,75647,SAVINGS,7773562037,BPs,F,40
19,41187,CURRENT,3649655519,BTU,F,90
20,23668,CURRENT,3054887263,Bbl,F,24
21,32629,SAVINGS,8353671642,Bwa,F,84
22,53371,CURRENT,3002127113,BXJ,F,27
23,32405,CURRENT,2916308704,BoK,F,54
24,51615,SAVINGS,8025999216,BoK,F,16
25,60207,SAVINGS,9673177697,BFw,F,11
26,97282,SAVINGS,3154955849,BXJ,F,97
27,34803,SAVINGS,2946590838,BoK,F,37
28,20595,SAVINGS,9632875625,BZd,F,10
29,51303,CURRENT,9472291825,ByX,F,2
30,78773,CURRENT,7834945721,BFx,F,10
31,34381,SAVINGS,2184056673,BwA,F,37
32,13006,CURRENT,5665306379,BTe,F,99
33,91260,CURRENT,5349396719,Bwa,F,84
34,41533,CURRENT,1544105582,BNI,F,15
35,48565,CURRENT,7279224147,BhP,F,42
36,25186,SAVINGS,9425204757,B90,T,49
37,9500,CURRENT,4173443293,B14,T,60
38,48563,CURRENT,5523826192,BPx,F,43
39,76530,CURRENT,2964055936,Ba6,F,59
40,59299,SAVINGS,3184632438,Bzx,F,34
41,21326,SAVINGS,6298317632,BDT,F,70
42,80596,CURRENT,1696741754,Ba6,F,55
43,68609,SAVINGS,7249124249,BSE,F,77
44,72153,SAVINGS,8392402957,Bv2,F,99
45,63252,CURRENT,5358342402,Bv2,F,4
46,11363,SAVINGS,7536158351,BrC,F,34
47,70660,SAVINGS,3134292192,BZ0,F,82
48,76416,SAVINGS,1128694409,BPx,F,14
49,49508,CURRENT,3652861523,BTV,F,97
50,82308,CURRENT,2584925173,Bfk,F,49
51,47392,SAVINGS,7267495301,Bv5,F,52
52,59403,SAVINGS,8697205562,BTO,F,52
53,79553,SAVINGS,9462436764,Bbl,F,78
54,22489,SAVINGS,4814453549,BTt,F,43
55,86243,CURRENT,7447369231,BH4,T,35
56,25161,SAVINGS,8664983382,BvO,T,90
57,57699,CURRENT,5248408896,BeG,F,69
58,50327,SAVINGS,3882001349,Bvf,F,66
59,74392,SAVINGS,6781977397,Br2,F,32
60,1575,CURRENT,9704058273,BrC,T,71
61,47270,CURRENT,3829853380,Bqr,T,16
62,48852,SAVINGS,5386559035,Bqv,F,80
63,15705,SAVINGS,4169999091,BmU,F,100
64,14261,CURRENT,5756223537,Bvf,F,22
65,14136,SAVINGS,6436611039,BGY,F,67
66,61652,SAVINGS,5835752745,BQf,F,3
67,29744,CURRENT,8918584664,B14,F,41
68,63574,SAVINGS,5515987311,BOe,F,41
69,27350,SAVINGS,9726654340,B9I,F,66
70,62766,SAVINGS,5263214056,BQd,F,45
71,40489,CURRENT,3754177779,B02,F,45
72,72973,SAVINGS,5735143126,BxL,F,98
73,44598,SAVINGS,7516810124,BTV,F,13
74,49001,CURRENT,1684693729,B2Q,T,90
75,66339,CURRENT,3731661527,B0T,F,57
76,25594,SAVINGS,4588664824,Be6,F,42
77,36587,SAVINGS,8061238216,BSE,F,56
78,72086,SAVINGS,3434670469,BYi,F,74
79,15058,SAVINGS,6509327869,BxE,F,30
80,41742,CURRENT,7578340470,BXJ,F,83
81,44186,CURRENT,6428802662,Be6,F,5
82,12758,SAVINGS,9692843957,BW8,F,86
83,27283,SAVINGS,6021449858,BPx,F,59
84,41185,CURRENT,5812579983,Bon,F,78
85,31314,CURRENT,6642531824,Bfk,F,92
86,19000,SAVINGS,4862317213,BwA,F,15
87,99539,CURRENT,4739814879,BEk,F,37
88,24331,SAVINGS,7018954750,BEk,F,18
89,31568,SAVINGS,7746861589,BXD,F,5
90,95709,SAVINGS,5685024398,BEk,F,70
91,16868,CURRENT,6387346017,BrC,T,54
92,59497,CURRENT,2184900662,B3g,F,3
93,96312,SAVINGS,3946104500,BBr,F,3
94,39753,SAVINGS,6213143818,BDT,T,37
95,49532,SAVINGS,4883654840,BMl,F,50
96,61559,SAVINGS,8464466995,BN4,F,24
97,85824,CURRENT,9611512618,BSE,F,46
98,76958,SAVINGS,9223588730,B7q,F,91
99,87947,SAVINGS,5617271095,BdV,F,51
100,80125,CURRENT,6448419346,Bon,F,26
101,90027,SAVINGS,6054562511,Bwa,F,76
102,49958,SAVINGS,2014612330,BmC,F,12
103,13497,SAVINGS,2888519004,B14,F,70
104,41588,CURRENT,6887995964,Bvf,T,56
105,45193,CURRENT,8797378326,BmN,F,83
106,94461,CURRENT,4808904331,Byz,F,73
107,22551,CURRENT,7051711688,BMl,F,24
108,24747,CURRENT,5306481578,Bao,F,34
109,88303,CURRENT,1899085128,Bzi,F,29
110,96112,SAVINGS,4826673205,BoK,F,6
111,60719,SAVINGS,8244240633,Bvj,F,34
112,61536,CURRENT,8269542938,B6c,F,22
113,99381,SAVINGS,6791594314,BSE,F,7
114,6726,SAVINGS,3184693623,B29,F,84
115,2568,CURRENT,1675509150,BxL,F,39
116,43831,CURRENT,4696120152,B9K,F,58
117,27469,CURRENT,6477825374,BwA,F,28
118,31739,SAVINGS,9288368044,Ba6,F,35
119,6049,CURRENT,3301915250,BXJ,F,53
120,86707,CURRENT,5815646616,BQd,F,62
121,29971,SAVINGS,1389583617,BNI,F,87
122,16302,CURRENT,3893800350,B6Z,F,46
123,38864,SAVINGS,6435968228,BGD,F,50
124,81193,SAVINGS,1159389023,BRu,T,9
125,83995,SAVINGS,5551032912,BLS,F,21
126,4014,CURRENT,1238528701,B29,F,23
127,27112,CURRENT,7212142692,B90,F,86
128,33733,SAVINGS,8699837701,B1T,F,23
129,65822,SAVINGS,9877361982,Bv2,F,32
130,90582,CURRENT,4816410169,BRu,F,2
131,76816,CURRENT,2865450811,B7q,F,98
132,27692,CURRENT,6488822962,Br2,F,19
133,23658,CURRENT,7613187761,B1i,F,77
134,24428,CURRENT,9873134114,Bwa,F,38
135,19048,CURRENT,3903678112,Bv5,F,28
136,46703,SAVINGS,6519245373,B1i,F,76
137,62982,SAVINGS,6782858977,BXD,F,95
138,20359,CURRENT,3836804112,BN4,F,17
139,87812,SAVINGS,9849805124,BRu,F,25
140,51722,SAVINGS,9469035231,BLS,F,16
141,30273,CURRENT,6772036991,BeQ,F,62
142,96667,SAVINGS,7271880095,BhO,F,7
143,29430,SAVINGS,5972452558,BmU,F,5
144,47000,SAVINGS,2967100173,B9K,F,45
145,28935,SAVINGS,8568823452,BnL,F,95
146,9792,CURRENT,6198506986,Bao,F,78
147,31700,CURRENT,5663246539,BGD,F,11
148,42099,CURRENT,3412916605,B90,F,12
149,47682,CURRENT,1714878665,BZd,F,60
150,13574,SAVINGS,3904928285,Bao,F,94
151,88746,SAVINGS,7565002736,B1T,F,62
152,30722,CURRENT,9081782302,BSE,F,8
153,12501,SAVINGS,7381825923,BRu,F,79
154,11732,SAVINGS,5777090686,Ba6,F,80
155,88188,CURRENT,8381709584,BTO,F,69
156,67721,SAVINGS,1238724052,BYY,F,90
157,87244,CURRENT,8281183737,B1T,F,83
158,36104,SAVINGS,2569496721,B3M,F,18
159,84639,SAVINGS,5198961853,Bwd,F,91
160,44128,CURRENT,3609570189,BoK,F,83
161,70004,CURRENT,5626020912,BDW,F,41
162,21582,CURRENT,6552405904,BLS,F,86
163,26609,SAVINGS,1393109071,BQd,F,70
164,74518,CURRENT,5623287075,BrC,F,28
165,95214,SAVINGS,9974807982,B2U,F,10
166,23401,SAVINGS,6761043854,Be6,F,24
167,16597,SAVINGS,5252224342,BDW,T,98
168,56118,CURRENT,8513885571,BLe,F,33
169,73703,SAVINGS,5879040992,B14,F,64
170,33509,CURRENT,4672067557,BTs,F,92
171,24890,SAVINGS,6125988732,B6c,F,4
172,50659,CURRENT,9116511996,BaO,F,76
173,51094,CURRENT,7412779523,BXD,T,85
174,77577,SAVINGS,7792634548,Bqv,F,81
175,25345,CURRENT,1124001986,BLe,F,43
176,38440,CURRENT,6436257699,BQd,F,81
177,53856,SAVINGS,7525701847,BvO,F,64
178,50534,SAVINGS,1445846219,B29,F,8
179,42640,CURRENT,9069035264,B3c,F,18
180,53899,SAVINGS,1683070535,BH4,F,90
181,64745,CURRENT,3282473570,B90,F,66
182,33440,SAVINGS,5072445837,BN4,F,75
183,50687,SAVINGS,5149228995,BTe,F,81
184,3503,SAVINGS,3055768102,Bwd,F,48
185,25490,CURRENT,5722659884,BOe,T,67
186,11399,CURRENT,8771898298,BLe,F,60
187,79506,SAVINGS,1088001553,B9K,F,33
188,53865,SAVINGS,9959678559,BqY,F,43
189,87305,SAVINGS,6863738184,BhO,F,80
